date,station_id,reservoir,river,wma,prov,wss,fsc_mcm,water_mcm,pct_last_year,pct_last_week,pct_full,district_mun
20260803,A1R001,Ngotwane,Ngotwane,1,NW,,19.03,17,,,89.3,DC38
20260803,A2R001,Hartbeespoort,Krokodil,1,NW,CW,185.79,181.5,,,97.7,DC37
20260803,A2R002,BonAccord,Apies,1,G,,4.38,4.7,,,106.6,TSH
20260803,A2R003,Olifantsnek,Hex,1,NW,,13.68,13.7,,,100.2,DC37
20260803,A2R004,Rietvlei,Hennops,1,G,CW,12.25,9.1,,,74.1,TSH
20260803,A2R005,Buffelspoort,Sterkstroom,1,NW,,10.18,10.2,,,100.5,DC37
20260803,A2R006,Bospoort,Hex,1,NW,CW,15.8,16.1,,,101.9,DC37
20260803,A2R007,Lindleyspoort,Elands,1,NW,,14.21,14.2,,,99.8,DC37
20260803,A2R008,~Warmbad,Buffelspruit,1,LP,,0.55,0.6,,,102.8,DC36
20260803,A2R009,Roodeplaat,Pienaars,1,G,CW,41.16,41.3,,,100.4,TSH
20260803,A2R011,Kosterrivier,Koster,1,NW,,12.42,12.5,,,100.8,DC37
20260803,A2R012,Klipvoor,Pienaars,1,NW,CW,40.73,41.5,,,101.9,DC37
20260803,A2R013,Swartruggens,Elands,1,NW,,0.47,0.5,,,102.7,DC37
20260803,A2R014,Vaalkop,Elands,1,NW,CW,51.32,52.2,,,101.8,DC37
20260803,A2R015,Roodekopjes,Krokodil,1,NW,CW,96.35,100.4,,,104.2,DC37
20260803,A2R018,Middelkraal,Maretlwane,1,NW,,0.74,0.7,,,100,DC37
20260803,A3R001,Marico-Bosveld,Groot-Marico,1,NW,,26.93,27.2,,,101,DC38
20260803,A3R002,Klein-Maricopoort,Klein Marico,1,NW,,7.23,7.3,,,100.7,DC38
20260803,A3R003,Kromellenboog,Klein Marico,1,NW,,8.65,8.7,,,100.7,DC38
20260803,A3R004,Molatedi,Groot-Marico,1,NW,,200.78,219.3,,,109.2,DC38
20260803,A3R005,Sehujwane,Sehujane,1,NW,,3.61,3.3,,,91.9,DC38
20260803,A3R006,Madikwe,Tholwane,1,NW,,15.94,16.7,,,104.6,DC37
20260803,A3R007,Pella,Lethlakane,1,NW,,2.11,1.6,,,73.5,DC37
20260803,A4R001,Mokolo,Mokolo,1,LP,,145.77,149.1,,,102.3,DC36
20260803,A6R001,Doorndraai,Sterk,1,LP,,44.93,45,,,100.2,DC36
20260803,A6R002,GlenAlpine,Mogalakwena,1,LP,,18.89,19.1,,,101,DC35
20260803,A7R002,Houtrivier,Hout,1,LP,,6.62,6,,,91.3,DC35
20260803,A8R001,Nzhelele,Nzhelele,1,LP,,51.23,51.5,,,100.6,DC34
20260803,A8R002,Luphephe,Luphephe,1,LP,,13.98,14.1,,,101.1,DC34
20260803,A8R003,Nwanedzi,Nwanedzi,1,LP,,5.14,5.2,,,100.6,DC34
20260803,A8R004,&Mutshedzi,Mutshedzi,1,LP,,2.34,2.5,,,106.4,DC34
20260803,A9R001,Albasini,Luvuvhu,1,LP,LV,28.2,26.4,,,93.5,DC34
20260803,A9R002,Vondo,Mutshindudi,1,LP,LV,30.45,30.6,,,100.4,DC34
20260803,A9R004,Nandoni,Levhuvhu,1,LP,LV,166.11,168.4,,,101.4,DC34
20260803,B1R001,Witbank,Olifants,1,M,,104.02,103.1,,,99.1,DC31
20260803,B1R002,Middelburg,LittleOlifants,1,M,,48.06,46,,,95.8,DC31
20260803,B2R001,Bronkhorstspruit,Bronkhorstspruit,1,G,,56.99,57,,,100,TSH
20260803,B3R001,Rust DeWinter,Elands,1,LP,,28.19,28.3,,,100.5,DC36
20260803,B3R002,Loskop,Olifants,1,M,,361.51,363.3,,,100.5,DC31
20260803,B3R005,Rhenosterkop,Elands,1,M,,204.58,205.6,,,100.5,DC31
20260803,B4R001,Tonteldoos,Tonteldoos,1,LP,,0.19,0.2,,,100.5,DC47
20260803,B4R002,Vlugkraal,Vlugkraal,1,LP,,0.44,0.4,,,100.3,DC47
20260803,B4R004,Buffelskloof,Waterval,1,M,,5.24,5.3,,,100.2,DC32
20260803,B4R007,De Hoop,Steelpoort,1,LP,,348.7,349,,,100.1,DC47
20260803,B5R002,FlagBoshielo,Olifants,1,LP,PK,185.13,187.2,,,101.1,DC47
20260803,B6R001,Ohrigstad,Ohrigstad,1,M,,13.45,13,,,97,DC32
20260803,B6R003,Blyderivierpoort,Blyde,1,M,,54.37,54.6,,,100.4,DC32
20260803,B7R001,Klaserie,Klaserie,1,LP,,5.6,5.6,,,100.8,DC33
20260803,B7R003,Tours,Ngwabitsi,1,LP,,6.08,6.1,,,100.2,DC33
20260803,B8R001,Ebenezer,Groot-Letaba,1,LP,PK,69.14,69.3,,,100.3,DC33
20260803,B8R002,HansMerensky,Ramadiepa,1,LP,,1.22,1.2,,,102.3,DC33
20260803,B8R003,Magoebaskloof,Politsi,1,LP,,4.84,4.9,,,100.5,DC33
20260803,B8R004,Vergelegen,Tributary ofPolitsi,1,LP,,0.25,0.3,,,103,DC33
20260803,B8R005,Tzaneen,Groot-Letaba,1,LP,,114.28,93.9,,,82.2,DC33
20260803,B8R006,DapNaude,Broederstroom,1,LP,,1.94,1.7,,,85.7,DC33
20260803,B8R007,Middel-Letaba,Middel-Letaba,1,LP,,171.93,170.2,,,99,DC33
20260803,B8R009,Nsami,Nsama,1,LP,,21.87,19.9,,,91.1,DC33
20260803,B8R011,Modjadji,Molototsi,1,LP,,7.2,7.3,,,100.7,DC33
20260803,B8R012,Thabina,Thabina,1,LP,,3.42,3.4,,,99.9,DC33
20260803,C1R001,Vaal,Vaal,4,FS,IV,2560.97,2594.3,,,101.3,DC42
20260803,C1R002,Grootdraai,Vaal,4,M,IV,349.72,339.6,,,97.1,DC30
20260803,C2R001,Boskop,Mooi,4,NW,,19.96,20.5,,,102.7,DC40
20260803,C2R002,JohanNeser,Skoonspruit,4,NW,,5.67,5.8,,,101.7,DC40
20260803,C2R003,Klerkskraal,Mooi,4,NW,,7.92,8.6,,,108.7,DC40
20260803,C2R004,Potchefstroom,Mooi,4,NW,,2.03,2.1,,,103.1,DC40
20260803,C2R005,Klipdrift,Loopspruit,4,G,,13.3,13.6,,,102.5,DC48
20260803,C2R006,Elandskuil,Swartleegte,4,NW,,1.18,1.3,,,107.8,DC40
20260803,C2R007,Rietspruit,Rietspruit,4,NW,,7.28,7.5,,,102.9,DC40
20260803,C2R008,VaalrivierBarrage,Vaal,4,FS,,53.62,52.4,,,97.8,DC42
20260803,C3R002,Spitskop,Harts,4,NC,,57.83,59.3,,,102.6,DC9
20260803,C3R006,Taung,Harts,4,NW,,61.37,61.4,,,100.1,DC39
20260803,C4R001,Allemanskraal,Sand,4,FS,,172.48,170.4,,,98.8,DC18
20260803,C4R002,Erfenis,Groot-Vet,4,FS,,213.76,211.2,,,98.8,DC18
20260803,C5R001,Tierpoort,Tierpoort,4,FS,,34,33.7,,,99.2,MAN
20260803,C5R002,Kalkfontein,Riet,4,FS,,325.13,327.4,,,100.7,DC16
20260803,C5R003,Rustfontein,Modder,4,FS,BF,72.11,69.1,,,95.8,MAN
20260803,C5R004,Krugersdrift,Modder,4,FS,,71.48,71.7,,,100.3,MAN
20260803,C5R005,Groothoek,Kgabanyane,4,FS,BF,11.9,11.2,,,94.4,MAN
20260803,C7R001,Koppies,Renoster,4,FS,,42.31,42.2,,,99.7,DC20
20260803,C8R002,Metsi-Matsho,Metsi-Matsho,4,FS,,4.38,3.8,,,85.9,DC19
20260803,C8R003,~Sterkfontein,Nuwejaarspruit,4,FS,IV,2616.9,2585.5,,,98.8,DC19
20260803,C8R004,~Saulspoort,Liebenbergsvlei,4,FS,,15.01,15.2,,,101,DC19
20260803,C8R008,Fika-Patso,Namahadi,4,FS,,29.41,24.8,,,84.4,DC19
20260803,C9R001,~VaalhartsWeir,Vaal,4,NC,,50.68,43,,,84.8,DC9
20260803,C9R002,Bloemhof,Vaal,4,FS,IV,1242.91,1322.5,,,106.4,DC18
20260803,C9R003,~DouglasWeir,Vaal,4,NC,,16.24,18.2,,,111.8,DC7
20260803,D1R001,Jozanashoek,Sterkspruit,4,EC,,9.47,9.5,,,100.1,DC14
20260803,D2R001,Egmont,Witspruit,4,FS,,9.06,9.1,,,100.8,MAN
20260803,D2R002,Armenia,Leeu,4,FS,,13.22,13.4,,,101.2,DC19
20260803,D2R004,~Welbedacht,Caledon,4,FS,BF,5.42,5.4,,,100,MAN
20260803,D2R006,Knellpoort,Rietspruit,4,FS,BF,130.16,130.2,,,100,MAN
20260803,D3R002,Gariep,Orange,4,FS,OR,4903.45,4869.1,,,99.3,DC16
20260803,D3R003,Vanderkloof,Orange,4,FS,OR,3136.93,3140.1,,,100.1,DC16
20260803,D4R003,Disaneng,Molopo,4,NW,,14.12,14.2,,,100.5,DC38
20260803,D4R004,Setumo,Molopo,4,NW,,20.72,20.6,,,99.6,DC38
20260803,D7R001,~Boegoeberg,Orange,4,NC,,23.57,7,,,29.5,DC7
20260803,E1R001,Bulshoek,Olifants,6,WCw,,4.81,4.3,,,90.1,DC1
20260803,E1R002,Clanwilliam,Olifants,6,WCw,,122.48,116.5,,,95.1,DC1
20260803,E4R001,Karee,Karee,6,NC,,0.96,0.9,,,97.3,DC6
20260803,G1R001,Voelvlei,Voelvlei,6,WCw,CT,158.59,98,,,61.8,DC2
20260803,G1R002,Wemmershoek,Wemmers,6,WCw,CT,58.71,58.3,,,99.3,DC2
20260803,G1R003,~Misverstand,Berg,6,WCw,,5.68,6.2,,,109.6,DC1
20260803,G1R004,Berg River,Berg,6,WCw,CT,127.05,114,,,89.7,DC2
20260803,G4R001,~Steenbras-Lower,Steenbras,6,WCw,CT,33.88,17.7,,,52.3,CPT
20260803,G4R002,Eikenhof,Palmiet,6,WCw,,28.86,29.2,,,101.3,DC3
20260803,G4R007,~Steenbras-Upper,Steenbras,6,WCw,CT,31.81,31.5,,,99.1,CPT
20260803,G4R010,De Bos,Onrus,6,WCw,,5.74,5.7,,,99.3,DC3
20260803,H1R001,Brandvlei,LowerBrandvlei,6,WCw,,286.04,178.8,,,62.5,DC2
20260803,H1R002,Stettynskloof,Holsloot,6,WCw,,14.75,14.8,,,100.6,DC2
20260803,H1R003,Ceres,Koekedou,6,WCw,,17.25,17.2,,,100,DC2
20260803,H2R001,Roode ElsBerg,Sanddrifskloof,6,WCw,,7.73,7.5,,,97.4,DC2
20260803,H2R002,Lakenvallei,Sanddrifskloof,6,WCw,,10.44,10.5,,,100.1,DC2
20260803,H3R001,Poortjieskloof,Groot,6,WCw,,9.72,9.7,,,100,DC2
20260803,H3R002,Pietersfontein,Pietersfontein,6,WCw,,1.92,1.9,,,100.3,DC2
20260803,H4R002,Keerom,Nuy,6,WCw,,9.75,8.6,,,88.4,DC2
20260803,H4R003,Klipberg,Konings,6,WCw,,1.94,2,,,101.2,DC2
20260803,H4R004,Kwaggaskloof,Doorn,6,WCw,,169.41,103.2,,,60.9,DC2
20260803,H6R001,Theewaterskloof,Riviersonderend,6,WCw,CT,479.26,373.3,,,77.9,DC3
20260803,H6R002,Elandskloof,Elands,6,WCw,,10.99,11.1,,,100.7,DC3
20260803,H7R001,Buffeljags,Buffeljags,6,WCo,,4.54,4.6,,,101.1,DC3
20260803,H8R001,Duiwenhoks,Duiwenhoks,6,WCo,,6.18,6.2,,,100.3,DC4
20260803,H9R001,Korentepoort,Korinte,6,WCo,,8.09,8.1,,,100.3,DC4
20260803,J1R001,Prinsrivier,Prins,6,WCo,,2.26,2.3,,,100.2,DC4
20260803,J1R002,Bellair,Brak,6,WCo,,4.24,4.1,,,96.5,DC3
20260803,J1R003,Floriskraal,Buffels,6,WCo,,46.64,46.8,,,100.3,DC5
20260803,J1R004,Miertjieskraal,Brand,6,WCo,,1.43,1.4,,,99.8,DC4
20260803,J2R001,Calitzdorp,Nels,6,WCo,,4.82,4.8,,,100.2,DC4
20260803,J2R002,Leeugamka,Leeu,6,WCo,,13.41,13.5,,,100.3,DC5
20260803,J2R003,Oukloof,Cordiers,6,WCo,,4.26,4.3,,,100.1,DC5
20260803,J2R004,Gamka,Gamka,6,WCo,,1.73,1.7,,,100.1,DC5
20260803,J2R006,Gamkapoort,Gamka,6,WCo,,35.72,36.3,,,101.7,DC5
20260803,J2R008,Tierkloof,Tributary ofSeweweekspoort,6,WCo,,0.03,0,,,100,DC4
20260803,J3R001,Kammanassie,Kammanassie,6,WCo,,34.35,34.4,,,100.2,DC4
20260803,J3R002,Stompdrift,Olifants,6,WCo,,46.27,46.3,,,100.1,DC4
20260803,K1R001,Hartebeestkuil,Hartenbos,6,WCo,,7.13,7.1,,,99.8,DC4
20260803,K1R002,Klipheuwel,Tributary ofHartenbos,6,WCo,,4.45,1,,,22.9,DC4
20260803,K2R001,ErnestRobertson,Groot Brak,6,WCo,,0.41,0.4,,,100.4,DC4
20260803,K2R002,Wolwedans,Groot Brak,6,WCo,,24.63,24.7,,,100.2,DC4
20260803,K3R002,GardenRoute,Swart,6,WCo,,12.42,11.8,,,95.3,DC4
20260803,K6R001,Roodefontein,Piesang,6,WCo,,1.99,1.9,,,96.2,DC4
20260803,K9R001,Kromrivier,Krom,5,EC,AL,35.24,35.5,,,100.7,DC10
20260803,K9R002,Impofu,Krom,5,EC,AL,105.76,106.2,,,100.4,DC10
20260803,L8R001,Kouga,Kouga,5,EC,AL,125.91,126.4,,,100.4,DC10
20260803,L8R002,Haarlem,Groot,5,WCo,,4.6,4.6,,,101,DC4
20260803,L9R001,~Loerie,Loeriespruit,5,EC,AL,3.03,2.3,,,74.5,DC10
20260803,M1R001,Groendal,Swartkops,5,EC,AL,11.64,11.7,,,100.9,DC10
20260803,N1R001,Nqweba,Sondags,5,EC,,45.38,45.8,,,100.9,DC10
20260803,N2R001,Darlington,Sondags,5,EC,,179.84,86.9,,,48.3,DC10
20260803,P1R003,Nuwejaars,Nuwejaarspruit,5,EC,,4.56,4.7,,,102.1,DC10
20260803,Q1R001,~Grassridge,Groot Brak,5,EC,,44.49,38.2,,,85.9,DC13
20260803,Q4R001,LakeArthur,Tarka,5,EC,,11.29,7.2,,,63.8,DC13
20260803,Q4R002,Kommandodrift,Tarka,5,EC,,55.95,55.7,,,99.5,DC13
20260803,Q5R001,~Elandsdrift,Great Fish,5,EC,,3.55,2.5,,,70.6,
20260803,Q8R001,~DeMistkraal,Little Fish,5,EC,,2.05,1.6,,,79,DC10
20260803,Q9R001,Katrivier,Kat,5,EC,,24.84,24.9,,,100.3,DC12
20260803,Q9R002,GlenMelville,Water fromFish river viaEcca tunnel,5,EC,,6.23,4.8,,,76.5,DC10
20260803,R1R001,Sandile,Keiskamma,5,EC,,29.66,29.8,,,100.4,DC12
20260803,R1R002,Cata,Cata,5,EC,,12.08,9.1,,,75.5,DC12
20260803,R1R003,Binfield,Tyume,5,EC,,36.8,36.1,,,98.1,DC12
20260803,R1R004,Mnyameni,uMnyama,5,EC,,1.82,1.8,,,100,DC12
20260803,R1R005,Debe,Debe,5,EC,,6.33,3.7,,,58.3,DC12
20260803,R2R001,Laing,Buffalo,5,EC,AM,18.9,19.2,,,101.7,BUF
20260803,R2R002,Rooikrans,Buffalo,5,EC,AM,4.8,4.8,,,99.2,BUF
20260803,R2R003,Bridle Drift,Buffalo,5,EC,AM,97.92,89.2,,,91.1,BUF
20260803,R3R001,Nahoon,Nahoon,5,EC,AM,19.26,16.7,,,86.7,BUF
20260803,S1R001,Xonxa,White Kei,5,EC,,116.39,115.9,,,100,DC13
20260803,S1R002,Macubeni,Cacadu,5,EC,,1.14,3.4,,,100,DC13
20260803,S2R001,Lubisi,Indwe,5,EC,,113.52,74.6,,,65.7,DC13
20260803,S2R002,Doornrivier,Doorn,5,EC,,17.1,16.6,,,97.2,DC13
20260803,S3R001,Waterdown,Klipplaat,5,EC,KP,37.44,37.7,,,100.6,DC12
20260803,S3R003,Oxkraal,Oskraal,5,EC,KP,15.11,13.7,,,92.5,DC13
20260803,S3R005,Boesmanskrantz,Oxkraal,5,EC,KP,4.82,4.5,,,93.7,DC13
20260803,S5R001,Ncora,Tsomo,5,EC,,144.85,134.1,,,92.6,DC13
20260803,S5R002,Tsojana,Tsojana,5,EC,,12.27,12.3,,,100,DC13
20260803,S6R001,Gubu,Gubu,5,EC,AM,8.52,8.6,,,100.5,DC12
20260803,S6R002,Wriggleswade,Kubisi,5,EC,AM,91.47,90.7,,,99.2,DC12
20260803,T2R001,Umtata,Mtata,5,EC,,244.67,235.1,,,96.1,DC15
20260803,T2R002,Mabeleni,Mhlahlane,5,EC,,2.1,2.1,,,100,DC15
20260803,T2R003,Corana,Corana,5,EC,,0.73,0.7,,,93.8,DC15
20260803,T3R001,Belfort,Mafube,5,EC,,0.41,0.4,,,86.5,DC44
20260803,T3R003,Ntenetyana,Ntenetyana,5,EC,,1.61,1.2,,,76.4,DC44
20260803,T3R004,Nqadu,Nqadu,5,EC,,1.27,0.8,,,60.4,DC15
20260803,T7R001,Mlanga,Mlanga,5,EC,,1.6,1.1,,,71.4,DC15
20260803,U2R001,Midmar,Mgeni,3,KN,UM,235.42,210.7,,,89.5,DC22
20260803,U2R002,Nagle,Mgeni,3,KN,UM,23.24,23.4,,,100.5,DC22
20260803,U2R003,AlbertFalls,Mgeni,3,KN,UM,285.64,254.8,,,89.2,DC22
20260803,U2R004,Inanda,Mgeni,3,KN,UM,237.4,231.2,,,97.4,ETH
20260803,U3R001,Hazelmere,Mdloti,3,KN,,37.13,31.8,,,85.7,ETH
20260803,V1R001,Spioenkop,Tugela,3,KN,,270.64,242.5,,,89.6,DC23
20260803,V1R002,~DrielBarrage,Tugela,3,KN,,8.69,8.5,,,97.3,DC23
20260803,V1R003,~Woodstock,Tugela,3,KN,IV,355.42,339.8,,,95.6,DC23
20260803,V2R001,CraigieBurn,Mnyamvubu,3,KN,,22.47,21.8,,,96.8,DC22
20260803,V2R002,Mearns,Mooi,3,KN,,5.16,3.4,,,66,DC22
20260803,V2R003,SpringGrove,Mooi,3,KN,UM,139.2,115,,,82.6,DC22
20260803,V3R001,Ntshingwayo,Ngagane,3,KN,,194.56,134.1,,,68.9,DC25
20260803,V3R003,Zaaihoek,Slang,3,KN,IV,184.26,185.2,,,100.5,DC25
20260803,V7R001,Wagendrift,Boesmans,3,KN,,55.9,51.8,,,92.7,DC23
20260803,W1R001,Goedertrouw,Mhlatuze,3,KN,MH,301.25,280.8,,,93.2,DC28
20260803,W2R001,Klipfontein,Wit Mfolozi,3,KN,,18.09,17.1,,,94.4,DC26
20260803,W3R001,Hluhluwe,Hluhluwe,3,KN,,25.89,22.4,,,86.7,DC27
